Year,Company,Person,Project,Person Type,Project Url,Technology,Topic,Gender
2017,AerospaceResearch.net,Manfred Ehresmann,Multi Purpose Ground Station - 2017 - Google Summer of Code Archive,mentor,http://aerospaceresearch.net/?p=326,python,cubesats,male
2017,Mixxx DJ Software,Palakis,Multi-broadcasting for Mixxx - 2017 - Google Summer of Code Archive,student,https://www.mixxx.org/wiki/doku.php/multi-broadcasting,qt,audio,male
2017,Mixxx DJ Software,Daniel Scha¼rmann,Multi-broadcasting for Mixxx - 2017 - Google Summer of Code Archive,mentor,https://www.mixxx.org/wiki/doku.php/multi-broadcasting,qt,audio,female
2017,Institute for Artificial Intelligence,An T. Le,Multi-modal Cluttered Scene Analysis in Knowledge Intensive Scenarios - 2017 - Google Summer of Code Archive,student,https://gist.github.com/anindex/ee4b32e73973ab24d3d7a17ab6486b9d,lisp,artificial intelligence,male
2017,Institute for Artificial Intelligence,Jan-Hendrik,Multi-modal Cluttered Scene Analysis in Knowledge Intensive Scenarios - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/anindex/ee4b32e73973ab24d3d7a17ab6486b9d,lisp,artificial intelligence,male
2017,Institute for Artificial Intelligence,Ferenc Balint-Benczedi,Multi-modal Cluttered Scene Analysis in Knowledge Intensive Scenarios - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/anindex/ee4b32e73973ab24d3d7a17ab6486b9d,lisp,artificial intelligence,male
2017,Institute for Artificial Intelligence,Mykola Dolhyi,Multi-modal cluttered scene analysis in knowledge intensive scenarios - 2017 - Google Summer of Code Archive,student,https://gist.github.com/klokik/902f7065ab0f8599fea7156542160cac,lisp,artificial intelligence,male
2017,Institute for Artificial Intelligence,Jan-Hendrik,Multi-modal cluttered scene analysis in knowledge intensive scenarios - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/klokik/902f7065ab0f8599fea7156542160cac,lisp,artificial intelligence,male
2017,Institute for Artificial Intelligence,Ferenc Balint-Benczedi,Multi-modal cluttered scene analysis in knowledge intensive scenarios - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/klokik/902f7065ab0f8599fea7156542160cac,lisp,artificial intelligence,male
2017,Checkstyle,Andrew Kuchev,Multi-thread mode for Java files processing - 2017 - Google Summer of Code Archive,student,https://soon.github.io/projects/gsoc/2017/index.html, java,static code analysisâ€Ž,male
2017,Checkstyle,Vladislav Lisetskii,Multi-thread mode for Java files processing - 2017 - Google Summer of Code Archive,mentor,https://soon.github.io/projects/gsoc/2017/index.html, java,static code analysisâ€Ž,male
2017,Checkstyle,Illia Dubinin,Multi-thread mode for Java files processing - 2017 - Google Summer of Code Archive,mentor,https://soon.github.io/projects/gsoc/2017/index.html, java,static code analysisâ€Ž,male
2017,Red Hen Lab,Prannoy Mupparaju,Multilingual Corpus Pipeline - 2017 - Google Summer of Code Archive,student,https://github.com/RedHenLab/multilingualpipeline,high performance computing,natural language processing,male
2017,Red Hen Lab,Peter Uhrig,Multilingual Corpus Pipeline - 2017 - Google Summer of Code Archive,mentor,https://github.com/RedHenLab/multilingualpipeline,high performance computing,natural language processing,male
2017,Red Hen Lab,Mark Turner,Multilingual Corpus Pipeline - 2017 - Google Summer of Code Archive,mentor,https://github.com/RedHenLab/multilingualpipeline,high performance computing,natural language processing,male
2017,Red Hen Lab,Francis Steen,Multilingual Corpus Pipeline - 2017 - Google Summer of Code Archive,mentor,https://github.com/RedHenLab/multilingualpipeline,high performance computing,natural language processing,male
2017,Red Hen Lab,donghun lee,Multimodal television show segmentation - 2017 - Google Summer of Code Archive,student,https://github.com/dhfromkorea/digital-silo,high performance computing,natural language processing,male
2017,Red Hen Lab,Tim Groeling,Multimodal television show segmentation - 2017 - Google Summer of Code Archive,mentor,https://github.com/dhfromkorea/digital-silo,high performance computing,natural language processing,unknown
2017,Red Hen Lab,Francis Steen,Multimodal television show segmentation - 2017 - Google Summer of Code Archive,mentor,https://github.com/dhfromkorea/digital-silo,high performance computing,natural language processing,male
